epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2114.4,0.35302,0.46798,0.88047,0.93847,0.95506,0.985,0.91346,0.39829,0.60373,0.87816,0.00038125,0.00038125,0.00038125
127,2129.44,0.3431,0.44698,0.87722,0.92666,0.95617,0.98668,0.91516,0.40642,0.61175,0.88351,0.0003763,0.0003763,0.0003763
128,2144.57,0.33698,0.45321,0.88275,0.90688,0.95971,0.98593,0.91158,0.41888,0.60752,0.89044,0.00037135,0.00037135,0.00037135
129,2160.06,0.36216,0.44803,0.89758,0.93053,0.92844,0.98464,0.90706,0.42278,0.60878,0.89596,0.0003664,0.0003664,0.0003664
130,2175.11,0.34206,0.43827,0.88412,0.9336,0.93479,0.98283,0.90614,0.40839,0.60182,0.89369,0.00036145,0.00036145,0.00036145
131,2191.55,0.34247,0.46312,0.89419,0.93682,0.93406,0.98189,0.9159,0.39589,0.59799,0.88989,0.0003565,0.0003565,0.0003565
132,2209.88,0.33396,0.4383,0.87159,0.92952,0.93638,0.97894,0.91289,0.39245,0.60219,0.88483,0.00035155,0.00035155,0.00035155
133,2226.87,0.36274,0.44776,0.89567,0.93691,0.94164,0.97667,0.90194,0.40227,0.61407,0.88532,0.0003466,0.0003466,0.0003466
134,2242.99,0.35357,0.46018,0.89897,0.94362,0.92906,0.98013,0.89714,0.42358,0.61751,0.89042,0.00034165,0.00034165,0.00034165
135,2258.58,0.35179,0.44594,0.86885,0.90573,0.95604,0.97832,0.89799,0.42269,0.60606,0.89044,0.0003367,0.0003367,0.0003367
136,2275.13,0.35275,0.44801,0.87978,0.90345,0.97597,0.97992,0.90158,0.40821,0.59922,0.88939,0.00033175,0.00033175,0.00033175
137,2290.28,0.32918,0.42766,0.865,0.88919,0.95688,0.97796,0.91023,0.39518,0.59428,0.88559,0.0003268,0.0003268,0.0003268
138,2306.25,0.34985,0.43754,0.90205,0.92478,0.93314,0.97684,0.90814,0.38898,0.5945,0.88235,0.00032185,0.00032185,0.00032185
139,2321.33,0.33282,0.42897,0.87922,0.94123,0.90456,0.97443,0.89243,0.39946,0.60251,0.88436,0.0003169,0.0003169,0.0003169
140,2336.6,0.33577,0.43905,0.88414,0.95534,0.89024,0.9727,0.8831,0.40908,0.61416,0.88994,0.00031195,0.00031195,0.00031195
141,2351.71,0.3285,0.419,0.88567,0.94554,0.90122,0.96937,0.88335,0.40327,0.61606,0.8879,0.000307,0.000307,0.000307
142,2367.39,0.30837,0.41975,0.85743,0.94974,0.89236,0.96752,0.89165,0.38757,0.6107,0.88364,0.00030205,0.00030205,0.00030205
143,2383.62,0.32408,0.42067,0.8896,0.95175,0.89665,0.96907,0.89662,0.37296,0.60664,0.87879,0.0002971,0.0002971,0.0002971
144,2400.54,0.3177,0.41851,0.87477,0.9527,0.89612,0.97571,0.90244,0.36958,0.60411,0.8777,0.00029215,0.00029215,0.00029215
145,2417.01,0.32635,0.43182,0.86689,0.90176,0.95982,0.97648,0.90201,0.37897,0.59939,0.8781,0.0002872,0.0002872,0.0002872
146,2434.09,0.33156,0.43682,0.87903,0.89894,0.93741,0.97384,0.89489,0.38982,0.61032,0.87796,0.00028225,0.00028225,0.00028225
147,2450.49,0.34204,0.427,0.87954,0.93062,0.90914,0.9722,0.89557,0.3935,0.61593,0.87642,0.0002773,0.0002773,0.0002773
148,2466.02,0.34238,0.42791,0.88457,0.93475,0.91559,0.9735,0.8963,0.39366,0.62224,0.87492,0.00027235,0.00027235,0.00027235
149,2481.37,0.33464,0.42539,0.88542,0.93295,0.90731,0.97503,0.89524,0.39123,0.62507,0.87367,0.0002674,0.0002674,0.0002674
150,2497.03,0.31033,0.39652,0.87505,0.93269,0.90561,0.97137,0.88669,0.39115,0.63058,0.87464,0.00026245,0.00026245,0.00026245
151,2512.54,0.32415,0.42381,0.87797,0.92393,0.91708,0.97494,0.89217,0.38426,0.6403,0.87099,0.0002575,0.0002575,0.0002575
152,2527.83,0.32505,0.42503,0.87426,0.91073,0.91964,0.97173,0.89433,0.37726,0.64425,0.8675,0.00025255,0.00025255,0.00025255
153,2542.88,0.31291,0.40097,0.86762,0.92312,0.91234,0.97142,0.89261,0.37612,0.64303,0.86411,0.0002476,0.0002476,0.0002476
154,2557.95,0.31558,0.40949,0.8929,0.90827,0.91095,0.97077,0.89659,0.38246,0.64227,0.86387,0.00024265,0.00024265,0.00024265
155,2572.98,0.34365,0.44279,0.88566,0.89098,0.91461,0.97021,0.90004,0.38169,0.64813,0.86341,0.0002377,0.0002377,0.0002377
156,2588.07,0.33424,0.43612,0.91068,0.90218,0.90941,0.96846,0.89382,0.38414,0.64495,0.86318,0.00023275,0.00023275,0.00023275
157,2603.1,0.31678,0.41692,0.87478,0.95835,0.87845,0.97092,0.89305,0.39235,0.64931,0.86603,0.0002278,0.0002278,0.0002278
158,2618.23,0.32948,0.42382,0.8829,0.95959,0.87767,0.96687,0.88979,0.39581,0.6566,0.86813,0.00022285,0.00022285,0.00022285
159,2633.32,0.32424,0.43926,0.88689,0.96214,0.87698,0.96397,0.8855,0.38385,0.64678,0.86637,0.0002179,0.0002179,0.0002179
160,2648.49,0.29046,0.39301,0.85623,0.94963,0.87956,0.96262,0.88549,0.38048,0.63687,0.86801,0.00021295,0.00021295,0.00021295
161,2663.59,0.3413,0.44127,0.90245,0.94713,0.88085,0.9647,0.89101,0.38283,0.63001,0.87041,0.000208,0.000208,0.000208
162,2678.64,0.31017,0.40558,0.86782,0.94067,0.8837,0.96466,0.89191,0.39103,0.62806,0.87364,0.00020305,0.00020305,0.00020305
163,2693.68,0.29741,0.41986,0.86577,0.93766,0.88606,0.96507,0.89456,0.399,0.63623,0.87827,0.0001981,0.0001981,0.0001981
164,2708.79,0.29386,0.41076,0.84935,0.93826,0.87827,0.96536,0.89109,0.40444,0.63982,0.88158,0.00019315,0.00019315,0.00019315
165,2723.9,0.34365,0.42403,0.88668,0.92829,0.88501,0.96198,0.89134,0.40076,0.6428,0.88065,0.0001882,0.0001882,0.0001882
166,2739.01,0.33232,0.42723,0.89307,0.92506,0.88855,0.96179,0.887,0.39723,0.65012,0.87982,0.00018325,0.00018325,0.00018325
167,2754.03,0.30701,0.401,0.86648,0.92401,0.8764,0.9616,0.88734,0.39323,0.65201,0.87832,0.0001783,0.0001783,0.0001783
168,2769.13,0.29287,0.3943,0.87588,0.93246,0.86314,0.9616,0.88637,0.39208,0.64744,0.87782,0.00017335,0.00017335,0.00017335
169,2784.47,0.30937,0.42174,0.87377,0.94368,0.8653,0.96283,0.88841,0.39462,0.64361,0.87898,0.0001684,0.0001684,0.0001684
170,2799.54,0.32501,0.42187,0.88477,0.94596,0.87336,0.96467,0.8838,0.39654,0.64869,0.87825,0.00016345,0.00016345,0.00016345
171,2814.62,0.3097,0.40041,0.86899,0.94587,0.87355,0.96498,0.88677,0.40395,0.64843,0.8813,0.0001585,0.0001585,0.0001585
172,2829.82,0.32254,0.40663,0.87702,0.94552,0.87372,0.96512,0.88745,0.4056,0.64571,0.88078,0.00015355,0.00015355,0.00015355
173,2844.98,0.2813,0.3916,0.86161,0.94388,0.87435,0.96082,0.87768,0.40135,0.64801,0.87733,0.0001486,0.0001486,0.0001486
174,2860.18,0.31416,0.41812,0.889,0.93966,0.87503,0.96116,0.88442,0.39546,0.64805,0.87431,0.00014365,0.00014365,0.00014365
175,2875.27,0.30938,0.40927,0.87882,0.94925,0.87673,0.96357,0.89026,0.39206,0.64902,0.87309,0.0001387,0.0001387,0.0001387
176,2890.39,0.30326,0.40068,0.87274,0.94991,0.87635,0.96467,0.89198,0.39074,0.65009,0.87329,0.00013375,0.00013375,0.00013375
177,2905.54,0.31588,0.40192,0.87761,0.95118,0.8758,0.96614,0.89606,0.38709,0.64645,0.87223,0.0001288,0.0001288,0.0001288
178,2920.69,0.34277,0.43867,0.9237,0.95145,0.87682,0.96604,0.8945,0.38626,0.63822,0.87438,0.00012385,0.00012385,0.00012385
